1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;;;;;;;;;;;;;;;;;
Player;Team;Age;GP;W;L;Min;PTS;FGM;FGA;FG%;15:00;3PA;3P%;FTM;FTA;FT%;OREB;DREB;REB;AST;TOV;STL;BLK;PF;FP;DD2;TD3;+/-;OFFRTG;DEFRTG;NETRTG;AST%;AST/TO;AST RATIO;OREB%;DREB%;REB%;TO RATIO;EFG%;TS%;USG%;PACE;PIE;POSS;;;;;;;;;;;;;;;;;;;;;;;;;
Deni Avdija;POR;24;72;33;39;30;1217;403;842;47,6;122;346;36,5;288;374;78;108;410;526;281;194;72;36;173;2390;17;2;-1,1;113,6;114,5;-0,9;19,3;1,43;19;4,8;19;11,7;13,3;55;60,5;22,8;99,86;12,6;4479;;;;;;;;;;;;;;;;;;;;;;;;;
Paolo Banchero;ORL;22;46;21;25;34,4;1191;414;911;45,2;87;271;32;281;386;72,7;51;294;345;221;138;37;28;97;1992;11;0;-0,5;109,1;109,6;-0,6;26,2;1,61;15,3;3,1;19,2;10,8;9,5;50;55,1;33;97,29;15,7;3204;;;;;;;;;;;;;;;;;;;;;;;;;
Stephon Castle;SAS;20;81;33;48;26,7;1191;421;988;42,8;97;332;28,5;251;340;72,4;89;211;300;332;178;73;24;162;2155;6;0;-3;111,8;116,6;-4,7;23,1;1,88;20,1;3,9;9,2;6,6;10,7;47,6;52,2;25,3;101,89;8,7;4580;;;;;;;;;;;;;;;;;;;;;;;;;
LaMelo Ball;CHA;23;47;16;31;32;1184;404;1001;40,5;179;526;33,9;193;230;84,3;47;183;230;348;169;52;14;155;2016;13;0;-2,8;112,7;116,5;-3,9;39;2,07;21,5;2,8;12,1;7,2;10,4;49,4;53,6;34,2;101,33;12,7;3173;;;;;;;;;;;;;;;;;;;;;;;;;
CJ McCollum;NOP;33;56;17;39;32,7;1182;442;1002;44,4;174;459;37,3;123;174;71,7;45;168;213;230;106;45;22;123;1882;0;0;-5;112,3;119,4;-7,1;19,2;2,14;16,1;2,2;9,1;5,6;7,5;53;55;26,6;101,56;9,7;3874;;;;;;;;;;;;;;;;;;;;;;;;;
Ja Morant;MEM;25;50;30;20;30,4;1160;405;890;45,4;90;285;30,9;265;320;82,4;35;170;205;365;185;60;10;115;1985;13;1;4,5;116,4;109,6;6,8;35,5;1,97;23,1;2,1;10,1;6,2;11,8;50,4;56,3;31,2;105,74;14,1;3346;;;;;;;;;;;;;;;;;;;;;;;;;
Bennedict Mathurin;IND;22;72;43;29;29,9;1159;389;850;45,8;101;288;34;274;331;83,1;86;295;382;137;137;50;22;166;1901;8;0;1,3;113,8;112,2;1,6;9;1,01;10,7;4,1;13,3;8,8;10,6;51,6;57,9;22,2;101,52;9,2;4556;;;;;;;;;;;;;;;;;;;;;;;;;
Collin Sexton;UTA;26;63;14;49;27,9;1159;416;869;48;107;271;40,6;214;252;86,5;63;113;170;265;158;44;6;145;1758;2;0;-4,5;110,4;117,9;-7,5;24,6;1,65;18,9;3,3;6;4,7;11,5;54,3;59,3;26,4;101,38;10,6;3709;;;;;;;;;;;;;;;;;;;;;;;;;
Payton Pritchard;BOS;27;80;59;21;28,4;1144;408;864;47,2;256;624;40,7;72;88;84,5;104;208;304;280;80;72;16;120;2096;5;0;5,4;118,4;108,9;9,5;18,4;3,36;22,1;4,2;8,7;6,5;6,6;62;63,3;18,6;96,45;11,6;4561;;;;;;;;;;;;;;;;;;;;;;;;;
Naz Reid;MIN;25;80;47;33;27,5;1136;424;920;46,2;176;464;37,9;112;144;77,6;96;392;480;184;112;56;72;192;2264;10;0;4,3;116,2;108,8;7,4;12,3;1,68;14,2;4,1;17,1;10,6;8,5;55,6;57,7;21;99,34;11;4554;;;;;;;;;;;;;;;;;;;;;;;;;
Keyonte George;UTA;21;67;13;54;31,5;1126;362;918;39,1;174;509;34,3;235;288;81,8;27;228;255;375;181;47;7;114;1977;4;0;-7,6;110,1;122;-11,9;27,2;2,06;23,6;1,2;10,4;5,8;11,5;48,5;53,9;23,7;101,25;9,3;4454;;;;;;;;;;;;;;;;;;;;;;;;;
Trey Murphy III;NOP;24;53;14;39;35;1124;382;837;45,4;159;440;36,1;201;228;88,7;48;223;270;186;101;58;37;111;1908;2;0;-7,2;109;118,7;-9,7;15,7;1,83;15,4;2,4;11,7;6,9;8,4;54,8;59,8;22,9;102,03;11;3941;;;;;;;;;;;;;;;;;;;;;;;;;
Myles Turner;IND;29;72;44;28;30,2;1123;389;814;48,1;158;396;39,6;187;238;77,3;94;382;468;108;122;58;144;180;2326;13;0;2,8;116,1;111,5;4,7;7,2;0,9;9,7;4,3;16,9;10,9;10,7;57,7;61,2;20,7;100,19;10,3;4533;;;;;;;;;;;;;;;;;;;;;;;;;
Malik Monk;SAC;27;65;36;29;31,6;1118;410;936;43,9;137;429;32,5;156;176;86,5;33;215;247;364;156;59;39;156;2093;4;0;1,8;117;114,5;2,5;24,6;2,28;23,6;1,4;10,4;5,9;10,4;51,3;54,9;23,6;101,33;9,9;4339;;;;;;;;;;;;;;;;;;;;;;;;;
Victor Wembanyama;SAS;21;46;21;25;33,2;1118;409;856;47,6;143;405;35,2;156;189;83,6;83;423;506;170;147;51;175;106;2512;28;1;2,2;112,5;110;2,5;18,4;1,13;13,4;5,4;25,5;15,9;11,9;55,9;59,4;30;101;16,8;3223;;;;;;;;;;;;;;;;;;;;;;;;;
Jarrett Allen;CLE;27;82;64;18;28;1107;451;640;70,6;0;8;0;197;279;71,8;213;582;795;156;98;74;74;123;2649;40;0;6,3;121,9;111,3;10,5;9,1;1,63;15,5;9,5;23,8;16,9;9,5;70,6;72,4;15,6;101,43;14,8;4853;;;;;;;;;;;;;;;;;;;;;;;;;
Quentin Grimes;PHI;25;75;29;46;26,8;1095;383;825;46,7;165;420;38,5;165;218;75,7;60;263;323;225;143;75;23;135;1973;4;0;-3,5;111,9;118,1;-6,2;17,2;1,62;17,9;2,8;12,6;7,7;11;56,5;59,5;21,8;100,7;10,5;4223;;;;;;;;;;;;;;;;;;;;;;;;;
De'Andre Hunter;CLE;27;64;38;26;27,2;1088;358;762;47;160;390;40,5;218;256;84,6;45;211;256;90;83;51;13;154;1645;2;0;1,4;115,9;113,9;2;7,7;1,12;8,7;2,4;11,7;7,1;7,8;57,3;62,3;22,1;104,77;10,1;3803;;;;;;;;;;;;;;;;;;;;;;;;;
